,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
245,20 Hours,1 Lithium ion batteries required. (included),Samsung Electronics,Integrated,Intel,Royal Blue,,512,,flash memory solid state,USB-C,11.91 x 7.99 x 0.51 inches,2.56 pounds,NP930QCG-K01US,1920 x 1080 Pixels,,,,Windows 10 Home,No Optical Drive,Battery Powered,1.3 GHz apple_ci7,Intel,1,11.91 x 7.99 x 0.51 inches,8 GB DDR4,Galaxy Book Flex,13.3 Inches,"Bluetooth, 802.11ax","$1,037.95",4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
246,5.5 Hours,1 Lithium ion batteries required.,Jumper,集成,Intel,Sliver,DDR3 SDRAM,,Intel HD Graphics 505,6 GB SSD,ATA-3,,3.89 pounds,EZbook-6pro,1920*1080 Lines Per Inch,2.2 GHz,,2,Windows 10,DVD,Battery Powered,1.6 GHz intel_atom,Intel,4,,6 GB DDR3,EZBook-6pro,11.6 Inches,"Bluetooth, 802.11b",,3.8,,PC,1920 x 1080,,,,,15.98 x 9.25 x 3.11 inches,,,,,,,,,,,,,,,,,
247,10 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,AMD,Silver,DDR4 SDRAM,128,AMD Radeon Graphics,Flash Memory Solid State,Gigabit Ethernet,14.31 x 9.86 x 0.71 inches,3.97 pounds,A515-44-R93G,1920x1080 Pixels,2.7 GHz,1,3,Windows 10 S,No Optical Drive,Battery Powered,3.7 GHz ryzen_3_4300u,AMD,4,14.31 x 9.86 x 0.71 inches,4 GB DDR4,A515-44-R93G,15.6 Inches,Bluetooth,$479.00,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
248,,1 Lithium Polymer batteries required. (included),MSI,Dedicated,Intel,Core Black,,32,NVIDIA RTX 3080,SSD,Thunderbolt,0.71 x 14.17 x 9.65 inches,4.63 pounds,GS66 Stealth 11UH-020,1920 x 1080 Pixels,3200 MHz,,4,Windows 10 Pro,No Optical Drive,Battery Powered,2.5 GHz core_i9,Intel,8,0.71 x 14.17 x 9.65 inches,32 GB DDR4,GS66 Stealth 11UH-020,15.6 Inches,Bluetooth,"$3,199.00",4.5,,PC,,16 GB,,,,,,,,,,,,,,,,,,,,,
249,5 Hours,,HP,Dedicated,NVIDIA,,DDR4 SDRAM,256 GB,Nvidia,256 GB SSD,ATA100,14.18 x 10.12 x 0.93 inches,4.37 pounds,HP Pavilion Gaming Laptop 15,1920x1080 Pixels,,,,Windows 10 Home,,Battery Powered,2 GHz 1_2GHz_Cortex_A13,Intel,4,14.18 x 10.12 x 0.93 inches,16 GB DDR4,HP Pavilion Gaming Laptop 15,15.6 Inches,"Bluetooth, 802.11a",$899.99,4.5,5400 RPM,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
250,,1 Lithium ion batteries required.,Dell,,,Sandstorm,DDR4 SDRAM,,AMD Radeon,512 GB ssd,Solid State,12.7 x 8.74 x 0.71 inches,3.75 pounds,Dell Computers,1920 x 1080 Pixels,4 GHz,,,Windows 10,,AC & Battery,2.3 GHz ryzen_5_4500u,AMD,6,12.7 x 8.74 x 0.71 inches,16 GB SDRAM,,14 Inches,,$779.99,4.3,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
251,10 Hours,1 Lithium ion batteries required. (included),Basrdis,Integrated,Intel,Platinum Grey,DDR4 SDRAM,32 GB,Intel,32 GB emmc,ESATA,12.9 x 9.2 x 0.74 inches,4.39 pounds,Chromebook 3,1366 x 768 Pixels,2.8 GHz,,,Chrome OS,,AC & Battery,2.8 GHz celeron_n4000,Intel,2,12.9 x 9.2 x 0.74 inches,4 GB LPDDR4,Chromebook 3,14 Inches,801.11ac,,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
252,,1 Lithium ion batteries required. (included),AimCare,Integrated,Intel,,DDR4 SDRAM,512 GB,Intel,512 GB SSD,Solid State,14.11 x 9.58 x 0.78 inches,3.86 pounds,HP_PC,1920 x 1080 Pixels,2666 MHz,,,Windows 10 Home,,"Corded Electric, Battery Powered",4.2 GHz apple_ci5,Intel,4,14.11 x 9.58 x 0.78 inches,8 GB,HP_Pavilion,15.6 Inches,802.11a,,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
253,16 Hours,1 Lithium ion batteries required. (included),ASUS,NVIDIA MX450,NVIDIA,Pine Grey,DDR4 SDRAM,512,NVIDIA GeForce MX450,512 GB Flash Memory Solid State,Thunderbolt,12.7 x 8.3 x 0.6 inches,3.3 pounds,UX435EG-XH74,1920 x 1080 Pixels,4266 MHz,,3,Windows 10 Pro,No Optical Drive,Battery Powered,4.7 GHz apple_ci7,Intel,4,12.7 x 8.3 x 0.6 inches,16 GB LPDDR4,ZenBook 14,14 Inches,"Bluetooth, 802.11ax",,4.4,,PC,1920 x 1080 pixels,2 GB,19 Volts,,,,,,,,,,,,,,,,,,,,
254,,,Dell,,Intel,,DDR4 SDRAM,,Intel Iris Xe Graphics,256 GB SSD,Serial ATA,21 x 9 x 3 inches,5.8 pounds,XH88R,1920 x 1080 Pixels,,,,Windows 10 Pro,,Battery Powered,4.2 GHz core_i5,Intel Core i5-1135G7,1,21 x 9 x 3 inches,16 GB DDR4,Latitude 5520,15.6 Inches,,"$1,362.00",4.2,,PC,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
255,10 Hours,1 Lithium ion batteries required. (included),HP,,Intel,Natural silver,DDR4 SDRAM,,Intel Iris Plus Graphics,1 TB SSD,Solid State,14.11 x 9.53 x 0.78 inches,3.75 pounds,HP 15 FHD TOUCH i7,1920 x 1080 Pixels,2666 MHz,,3,Windows 10 Home,,AC & Battery,1.3 GHz core_i7_1065g7,Intel,4,14.11 x 9.53 x 0.78 inches,32 GB DDR4,,15.6 Inches,801.11ac,"$1,199.00",4.6,,PC,1920x1080,,,,720 Pixels,,,,,,,,,,,,,,,,,,
256,,1 Lithium ion batteries required.,HP,,Intel,Black,DDR4 SDRAM,,Intel UHD Graphcis,,,14.11 x 9.52 x 0.78 inches,3.86 pounds,HP,1920 x 1080 Pixels,2.8 GHz,,,Windows 10 S,No Optical Drive,AC & Battery,2.8 GHz celeron_n4020,Intel,2,14.11 x 9.52 x 0.78 inches,8 GB SDRAM,,15.6 Inches,"Bluetooth, 802.11a/b/g/n/ac",,1.0,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
257,,1 Lithium ion batteries required.,Lenovo,Dedicated,NVIDIA,,DDR4 SDRAM,256,,256 GB flash_memory_solid_state,,14.17 x 10.51 x 1.02 inches,5.06 pounds,Legion Y540-15IRH,1920 x 1080,2.6 GHz,,,Windows 10 Home,,,2.6 GHz core_i7,Intel,6,14.17 x 10.51 x 1.02 inches,16 GB DDR4,,15.6 Inches,,"$1,039.00",4.5,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
258,,,Lenovo,Intel® Iris® Xe Graphics,Intel,,DDR4 SDRAM,512 GB,Integrated Intel® Iris® Xe Graphics,512 GB SSD,Solid State,12.4 x 8.72 x 0.59 inches,2.49 pounds,20XW00A8US,1920 x 1200 Pixels,4266 MHz,,,Windows 10 Pro,,"Corded Electric, Battery Powered",4.8 GHz core_i7_family,Intel,4,12.4 x 8.72 x 0.59 inches,32 GB LPDDR4,20XW00A8US,14 Inches,Bluetooth,,3.9,,PC,,,,,,,,,,,,,,,,,,,,,,,
259,,1 Lithium Polymer batteries required. (included),ASUS,Integrated,Intel,Citrus Soda Yellow,DDR3 SDRAM,64,Intel HD Graphics 615,64 GB emmc,Solid State,12.6 x 8 x 0.6 inches,3.3 pounds,C434TA-DS384T,1920 x 1080 Pixels,1 GHz,,3,Chrome OS,No Optical Drive,,3.4 GHz core_m_family,Intel,2,12.6 x 8 x 0.6 inches,8 GB DDR3L,Asus Chromebook Flip C434,14 Inches,"Bluetooth, 802.11b/n/ac",$584.97,4.4,10000 RPM,PC,,8 GB,100240 Volts,,,,,,,,,,,,,,,,,,,,
260,7 Hours,,Lenovo,,Intel,Abyss Blue,DDR4 SDRAM,512 GB,Intel UHD Graphics,512 GB SSD,PCIE x 4,14.26 x 9.98 x 0.78 inches,3.75 pounds,IdeaPad,1366 x 768 Pixels,,,,Windows 10,,"Corded Electric, Battery Powered",4.2 GHz core_i5,Intel,4,14.26 x 9.98 x 0.78 inches,20 GB DDR4,IdeaPad,15.6 Inches,Bluetooth,$719.00,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$269.99,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,HP,,Intel,Silver,DDR4 SDRAM,512 GB,Intel UHD Graphics,512 GB SSD,Serial ATA,16.33 x 10.72 x 0.96 inches,5.2 pounds,17-BY30,1600 x 900 Pixels,3.6 GHz,,,Windows 10,,"Corded Electric, Battery Powered",1 GHz core_i5,Intel,4,16.33 x 10.72 x 0.96 inches,16 GB DDR4,HP Laptop,17.3 Inches,"Bluetooth, 802.11a",$819.99,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
263,,1 A batteries required. (included),Lenovo,Integrated,Intel,Black,GDDR3,1,Integrated Intel UHD Graphics,1000 GB ssd,PCIE x 4,12.71 x 8.54 x 0.59 inches,2.4 pounds,20U9005MUS,1920 x 1080 Pixels,1.8 GHz,,,Windows 10,BD-R,Battery Powered,4.9 GHz core_i7_family,Intel,4,12.71 x 8.54 x 0.59 inches,16 GB DDR,X1 Carbon 8th Generation,14 Inches,Bluetooth,"$2,099.00",4.7,,PC,,,,,,,,,,,,,,,,,,,,,,,
264,,1 Lithium ion batteries required. (included),Dell,,Intel,Gray,DDR4 SDRAM,512 GB,Intel Iris Xe Graphics,512 GB SSD,PCIE x 4,14.09 x 9.19 x 0.78 inches,3.5 pounds,5520,1920 x 1080 Pixels,,,,Windows 10 Pro,,AC & Battery,2.4 GHz core_i5_family,Intel,4,14.09 x 9.19 x 0.78 inches,16 GB SDRAM,Latitude,15.6 Inches,802.11ax,"$1,649.00",4.2,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
265,,1 Lithium Polymer batteries required. (included),Dell,,AMD,Black,DDR4 SDRAM,256 GB,AMD Radeon Vega 8,256 GB SSD,Solid State,14.33 x 9.8 x 0.71 inches,8.8 ounces,i3505-A542BLK-PUS,1920 x 1080 Pixels,,,,Windows 10,,AC & Battery,2.1 GHz ryzen_3_3200u,AMD,4,14.33 x 9.8 x 0.71 inches,8 GB,Dell Inspiron,15.6 Inches,Bluetooth,$496.97,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
266,13 Hours,1 Lithium Metal batteries required. (included),HP,Integrated,Intel,White,SDRAM,32,Intel UHD Graphics 600,32 GB embedded multimediacard,USB 3.0,10.71 x 8.5 x 0.67 inches,4 pounds,12b-ca0010nr,1366 x 912 Pixels,2.6 GHz,,3,Chrome OS,No Optical Drive,Battery Powered,2.6 GHz celeron_n,Intel,2,10.71 x 8.5 x 0.67 inches,4 GB LPDDR4,7PA28UA#ABA,12 Inches,"Bluetooth, 802.11a/b/g/n/ac",$279.00,4.5,0.01 RPM,,,,,,,,,,,,,,,,,,,,,,,,
267,,,Dell,Integrated,Intel,Black,DDR4 SDRAM,,Intel® UHD Graphics for 11th Gen Intel® Processors,1 TB HDD 5400 rpm,Serial ATA,14.33 x 9.8 x 0.78 inches,4.04 pounds,Inspiron 3000,1920 x 1080 Pixels,4.1 GHz,,,Windows 10,,,1.7 GHz core_i3,Intel,2,14.33 x 9.8 x 0.78 inches,16 GB DDR4,Inspiron 3000,15.6 Inches,Bluetooth,$599.99,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
268,"9.0, 7.0 Hours",1 Lithium ion batteries required. (included),HP,,Intel,,DDR4 SDRAM,256 GB,Intel Iris Xe Graphics,256 GB SSD,Solid State,14.11 x 9.53 x 0.71 inches,3.75 pounds,HP,1920 x 1080 Pixels,,,,Windows 10 S,No Optical Drive,AC & Battery,4.2 GHz core_i5,Intel,4,14.11 x 9.53 x 0.71 inches,16 GB SDRAM,HP,15.6 Inches,802.11a/b/g/n/ac,$669.99,4.5,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
269,,1 Lithium ion batteries required.,ASUS,Integrated,Intel,,DDR4 SDRAM,256 GB,Intel HD Graphics 6000,1 TB SSD,Solid State,9.07 x 14.06 x 0.78 inches,4.2 pounds,X512JA-211.VBGB,1920 x 1080 Pixels,3.9 GHz,,,Windows 10 Home,,"Corded Electric, Battery Powered",9 GHz core_i7_1065g7,Intel,4,9.07 x 14.06 x 0.78 inches,8 GB SDRAM,ASUS VivoBook,15.6 Inches,Bluetooth,,3.6,5400 RPM,PC,,,,,,,,,,,,,,,,,,,,,,,
270,,1 Lithium Polymer batteries required. (included),GIGABYTE,Dedicated,NVIDIA,Black,,,NVIDIA GeForce RTX 3070,1 TB SSD,Solid State,10.6 x 15.6 x 0.85 inches,5.5 pounds,AERO 17 HDR XD-73US524SP,3840 x 2160,4.6 GHz,,3,Win 10 Pro,No Optical Drive,Battery Powered,4.6 GHz Intel_Mobile_CPU,Intel,8,10.6 x 15.6 x 0.85 inches,16 GB DDR4,AERO 17 HDR XD-73US524SP,17.3 Inches,,,3.5,,PC,,8 GB,,,,,,,,,,,,,,,,,,,,,
271,,1 Lithium ion batteries required. (included),HP,Integrated,AMD,Silver,DDR4 SDRAM,256 GB,AMD Radeon Graphics,256 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,3.24 pounds,HP,1366 x 768 Pixels,3.2 GHz,,,Windows 10 S,No Optical Drive,AC & Battery,3.2 GHz athlon_silver_3050U,AMD,2,12.76 x 8.86 x 0.71 inches,8 GB SDRAM,,14 Inches,"802.11a/b/g/n/ac, Bluetooth",$459.00,4.5,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
272,10 Hours,1 Lithium Metal batteries required. (included),Lenovo,Integrated,Intel,Mineral Grey,DDR4 SDRAM,64,Intel UHD Graphics 620,64 GB flash memory solid state,Solid State,14.23 x 9.8 x 0.75 inches,4.4 pounds,81T90002UX,1920 x 1080 Pixels,2400 GHz,,1,Chrome OS,No Optical Drive,Battery Powered,2.2 GHz apple_ci3,Intel,1,14.23 x 9.8 x 0.75 inches,4 GB DDR4,Chromebook C340,15.6 Inches,"Bluetooth, 801.11ac",$356.00,4.3,7200 RPM,,,,,,,,,,,,,,,,,,,,,,,,
273,8 Hours,,HP,,AMD,Silver,DDR4 SDRAM,,AMD Radeon Graphics,,,15.78 x 10.15 x 0.78 inches,5.25 pounds,HP,1920 x 1080 Pixels,,,,Windows 10,No Optical Drive,AC & Battery,2.1 GHz amd_r_series,AMD,6,15.78 x 10.15 x 0.78 inches,16 GB,,17.3 Inches,802.11a/b/g/n/ac,$799.99,5.0,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
274,,1 Lithium Polymer batteries required.,Dell,Integrated,Intel,Black,SODIMM,256,Intel HD Graphics 620,256 GB SSD,Solid State,19.5 x 13.7 x 3 inches,5.07 pounds,Dell I3567,HD 1366x768,2133 MHz,2,2,Windows 10,BD-R,AC & Battery,2.7 GHz 80486dx2,Intel,2,19.5 x 13.7 x 3 inches,8 GB DDR,Dell I3567,15.6 Inches,"802.11bgn, 802.11b, 802.11b/g",$575.00,4.5,12 RPM,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
275,,,TECLAST,Dedicated,Intel,Dark Grey,DDR4 SDRAM,,Iris Plus 655,256 GB SSD,Serial ATA,1.1 x 14.1 x 9.4 inches,3.96 pounds,TBolt 20 pro laptop,1920 x 1080 Pixels,3.8 GHz,1,2,Windows 10,,Battery Powered,2.3 GHz core_i5_family,Intel,4,1.1 x 14.1 x 9.4 inches,8 GB,TBolt 20 Pro,15.6 Inches,"5 GHz Radio Frequency, 802.11a/b/g/n, 2.4 GHz Radio Frequency",,5.0,,PC,,,,,1 MP,,,,,,,,,,,,,,,,,,
276,,,ASUS,Dedicated,NVIDIA,Black,DDR4 SDRAM,32 GB,NVIDIA GeForce GTX 1660Ti,1 TB SSD,Solid State,14.2 x 10.1 x 1 inches,5.1 pounds,TUF,1920x1080 Pixels,,,,Windows 10,,,2.9 GHz core_i7,Intel,8,14.2 x 10.1 x 1 inches,32 GB DDR4,TUF506,15.6 Inches,802.11ac,"$1,439.99",4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
277,,1 Lithium ion batteries required. (included),Dell,,Intel,Black,DDR4 SDRAM,128 GB,Intel UHD Graphics,128 GB SSD,PCIE x 4,14.33 x 9.8 x 0.78 inches,3.91 pounds,i3000,1366 x 768 Pixels,2.8 GHz,,,Windows 10,,Battery Powered,1.1 GHz celeron,Intel,2,14.33 x 9.8 x 0.78 inches,8 GB DDR4,Dell Inspiron,15.6 Inches,Bluetooth,$429.00,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
278,,,Dell,,,,DDR DRAM,128 GB,Intel(R) UHD Graphics,128 GB SSD,Solid State,,5.63 pounds,dell 3511,1920 x 1080 Pixels,4.1 GHz,,,,,,4.1 GHz core_i3,Intel,4,,8 GB DDR4,Dell Inspiron,15.6 Inches,"Bluetooth, 802.11ac",$409.99,5.0,,PC,,,,,,19.42 x 12.69 x 2.88 inches,,,,,,,,,,,,,,,,,
279,,,ASUS,Nvidia Quadro RTX 5000,NVIDIA,,DDR4 SDRAM,2,NVIDIA® Quadro® RTX 5000,4 TB SSD,Raid,15 x 10.4 x 1.3 inches,5.51 pounds,W730G5T-XH99,1920X1200 Pixels,2.8 GHz,,,Windows 10 Pro,,,4.7 GHz,Intel,6,15 x 10.4 x 1.3 inches,64 GB DDR4,,17 Inches,,"$4,999.00",4.3,,,,,,,,,,,,,,,,,,,,,,,,,
280,"8.0, 6.0 Hours",,Jumper,Integrated,Intel,Gray,DDR3 SDRAM,2242 GB,1,4 GB HDD,ATA-3,,2.71 pounds,ZBOOK,1920 x 1080 Pixels,,,2,Windows 10 Home,DVD,Battery Powered,1.1 GHz celeron_n3450,Intel,4,,4 GB DDR3,EZBOOK-X3,13.3 Inches,"Bluetooth, 802.11a",,3.8,,PC,,,,,,15 x 12.91 x 2.48 inches,,,,,,,,,,,,,,,,,
281,,1 Lithium Polymer batteries required.,Lenovo,Dedicated,,Phantom Black,DDR4 SDRAM,,NVIDIA GeForce GTX 1650 Ti 4GB GDDR6,256 GB SSD,Solid State,14.3 x 10.22 x 0.94 inches,4.4 pounds,Legion 5-15ARH05,1920 x 1080 Pixels,3200 MHz,,,Windows 10 Home,,AC & Battery,3 GHz amd_r_series,AMD,6,14.3 x 10.22 x 0.94 inches,8 GB DDR3,Legion,15.6 Inches,802.11ac,$737.70,4.6,7200 RPM,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
282,8 Hours,,HP,Integrated,AMD,Natural Silver,DDR4 SDRAM,256 GB,Integrated Graphics,128 GB SSD,Serial ATA,12.76 x 8.9 x 0.78 inches,3.25 pounds,Pavilion,1366 x 768 Pixels,3.5 GHz,,,Windows 10,,"Corded Electric, Battery Powered",2.3 GHz athlon_silver_3050U,AMD,2,12.76 x 8.9 x 0.78 inches,16 GB DDR4,Pavilion,14 Inches,"Bluetooth, 802.11b",$559.00,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
283,,,Lenovo,Dedicated,NVIDIA,,DDR4 SDRAM,,NVIDIA® Quadro® T500 4GB,512 GB SSD,PCIE x 4,,5.99 pounds,20W6S00300,1920 x 1080 Pixels,,,,Windows 10 Pro,,,3 GHz core_i7_1065g7,Intel,4,,16 GB DDR4,ThinkPad P15s Gen 2 15” Intel Mobile Workstation,15.6 Inches,Bluetooth,"$1,729.00",5.0,,PC,,,,,,19.1 x 12.8 x 3.1 inches,,,,,,,,,,,,,,,,,
284,10.75 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Integrated,,DDR4 SDRAM,256,AMD Radeon RX Vega 10,Flash Memory Solid State,Solid State,9.53 x 14.11 x 0.78 inches,3.75 pounds,15-ef0022nr,1366 x 768,2400 MHz,2,1,Windows 10 Home,No Optical Drive,Battery Powered,4 GHz ryzen_7_3700u,AMD,4,9.53 x 14.11 x 0.78 inches,8 GB DDR4,HP 15 Laptop,15.6 Inches,"5 GHz Radio Frequency, Bluetooth",$533.00,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,TECLAST,Integrated,Intel,,DDR4 SDRAM,256 GB,UHD Graphics 600,256 GB SSD,Serial ATA-600,14.5 x 9.56 x 0.7 inches,3.96 pounds,F15 Plus Laptop Computer,1920 x 1080 Pixels,2.6 GHz,,,Windows 10 Home,,Battery Powered,1.1 GHz celeron_n4000,Intel,4,14.5 x 9.56 x 0.7 inches,8 GB LPDDR4,,15.6 Inches,"Bluetooth, 802.11a/b/g/n, 802.11ac",,3.7,,PC,1920x1080,,,,2 MP,,,,,,,,,,,,,,,,,,
286,,1 Lithium ion batteries required. (included),ASUS,Dedicated,NVIDIA,Black,DDR4 SDRAM,1,NVIDIA GeForce RTX 2070,1 TB SSD,Raid,14.2 x 10.8 x 0.98 inches,5.67 pounds,G532LWS-DS76,1920 x 1080 Pixels,3200 MHz,,4,Windows 10 Home,No Optical Drive,,5.1 GHz core_i7,Intel,8,14.2 x 10.8 x 0.98 inches,16 GB DDR4,ROG Strix Scar 15,15.6 Inches,"Bluetooth, 802.11ax","$1,907.88",4.3,,PC,1920 x 1080 pixels,8 GB,100240 Volts,,,,,,,,,,,,,,,,,,,,
287,,1 Lithium ion batteries required. (included),Computer Upgrade King,Dedicated,NVIDIA,,DDR4 SDRAM,,NVIDIA GeForce RTX 3080,1000 GB flash_memory_solid_state,Solid State,14.17 x 10.55 x 0.82 inches,5.47 pounds,,1920 x 1080,3200 MHz,,,Windows 10 Pro,,,3.3 GHz amd_r_series,AMD,8,14.17 x 10.55 x 0.82 inches,32 GB DDR4,,15.6 Inches,802.11ax,"$3,749.99",5.0,,PC,1920 x 1080,16.00,,,,,,,,,,,,,,,,,,,,,
288,,1 Lithium Polymer batteries required. (included),GIGABYTE,Dedicated,NVIDIA,Black,,,,SSD,,9.6 x 14 x 1.06 inches,4.8 pounds,AORUS 15P XD-73US324SH,1920 x 1080,4.6 GHz,,3,Windows 10 Home,No Optical Drive,Battery Powered,4.6 GHz Intel_Mobile_CPU,Intel,8,9.6 x 14 x 1.06 inches,16 GB DDR4,AORUS 15P XD-73US224SH,15.6 Inches,,,5.0,,PC,,8 GB,,,,,,,,,,,,,,,,,,,,,
289,,1 Lithium ion batteries required. (included),Dell,,Intel,,DDR4 SDRAM,256 GB,J Intel® Iris® Xe Graphics,256 GB ssd,Solid State,,5.21 pounds,Dell Inspiron 5405,1366x768 Pixels,3200 MHz,,,Windows 10,,,4.2 GHz core_i5_family,Intel,4,,8 GB DDR4,Dell Inspiron,14 Inches,2.4 GHz Radio Frequency,$675.00,4.7,,PC,,,,,,15.28 x 13.98 x 3.03 inches,,,,,,,,,,,,,,,,,
290,,1 Lithium Metal batteries required. (included),Lenovo,,Intel,,DDR3 SDRAM,256,Intel Iris Graphics,256 GB ssd,EIDE,,6.29 pounds,82BJ0001US,1920 x 1080 MP,,,,Windows 10,,Battery Powered,2.4 GHz core_i5,Intel,4,,8 GB,,15.6 Inches,Infrared,,4.5,,PC,,,,,,20.5 x 12 x 4 inches,,,,,,,,,,,,,,,,,
291,,,Lenovo,Integrated,Intel,,DDR SDRAM,,Integrated,512 GB,Unknown,3 x 15 x 15 inches,5.94 pounds,ThinkPad E15 Gen 2,1920 x 1080 Pixels,,,,Windows 10 Pro,,,2.4 GHz,Intel,1,3 x 15 x 15 inches,16 GB,ThinkPad E15 Gen 2,15.6 Inches,,,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
292,,1 A batteries required.,ASUS,Dedicated,Intel,Black,DDR4 SDRAM,256,Intel UHD Graphics,256 GB ssd,Solid State,14.06 x 9.07 x 0.78 inches,5.06 pounds,R564JA-UH51T,1920 x 1080,2666 MHz,,,Windows 10,BD-R,,1 GHz core_i5_1035g1,Intel,4,14.06 x 9.07 x 0.78 inches,8 GB SO-DIMM,R564JA-UH51T,15.6 Inches,802.11ac,$554.00,4.0,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
293,,1 Lithium ion batteries required. (included),Computer Upgrade King,Dedicated,NVIDIA,,DDR4 SDRAM,,NVIDIA GeForce RTX 3070,2000 GB flash_memory_solid_state,Solid State,15.55 x 11.1 x 0.92 inches,5.95 pounds,G713QR-ES98Q,1920 x 1080,3200 MHz,,,Windows 10 Home,,,3.3 GHz amd_r_series,AMD,8,15.55 x 11.1 x 0.92 inches,64 GB DDR4,Asus ROG Strix G17,17.3 Inches,802.11ax,"$2,899.99",4.2,,PC,2560 x 1440,8.00,,,,,,,,,,,,,,,,,,,,,
294,22 Hours,1 Lithium ion batteries required. (included),Samsung Electronics,Integrated,Intel,Silver,DDR4 SDRAM,512,,Flash Memory Solid State,,12.04 x 7.87 x 0.51 inches,2.14 pounds,NP930XCJ-K01US,1920 x 1080 Pixels,,,2,Windows 10 Home,No Optical Drive,Battery Powered,1.8 GHz apple_ci7,Intel,1,12.04 x 7.87 x 0.51 inches,8 GB DDR4,Galaxy Book Ion,13.3 Inches,"Bluetooth, 802.11ax",,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
295,,4 Lithium ion batteries required. (included),ASUS,Dedicated,NVIDIA,White,DDR4 SDRAM,,NVIDIA GeForce RTX3060 Max-Q,1 TB SSD,Solid State,13 x 8.66 x 0.7 inches,3.64 pounds,ROG Zephyrus G14,1920 x 1080 Pixels,3200 MHz,,,Windows 10,,Battery Powered,3.1 GHz ryzen_9,AMD,8,13 x 8.66 x 0.7 inches,16 GB DDR4,ASUS Rog Zephyrus,14 Inches,Bluetooth,"$1,785.00",3.8,,PC,,,,,,,,,,,,,,,,,,,,,,,
296,,1 Lithium Polymer batteries required. (included),Samsung Electronics,Integrated,Intel,Stealth Silver,Unknown,32,Intel HD Graphics 615,Flash Memory Solid State,Solid State,8.1 x 11.4 x 1 inches,11.2 ounces,XE521QAB-K01US,1920x1200 Pixels,,,1,Chrome OS,No Optical Drive,Battery Powered,1.5 GHz core_m,Intel,1,8.1 x 11.4 x 1 inches,4 GB DDR3,Chromebook Plus,12.2 Inches,"Bluetooth, 801.11ac",$339.00,4.3,7200 RPM,Unknown,,2 GB,,,,,,,,,,,,,,,,,,,,,
297,,1 Lithium Metal batteries required. (included),ASUS,,AMD,,SDRAM,256 GB,AMD Radeon Graphics,256 GB SSD,PCIE x 4,12.79 x 8.4 x 0.64 inches,3.1 pounds,M413DA,1920 x 1080 Pixels,,,,Windows 10 Home,,Battery Powered,3.7 GHz amd_r_series,AMD,4,12.79 x 8.4 x 0.64 inches,8 GB SDRAM,VivoBook 14,14 Inches,802.11ac,$509.00,4.5,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
